year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit
2,66.17038875103391,798.1803143093465,264000,225000,489000,0,0,0
2,68.23821339950372,800.2481389578163,264000,225000,489000,0,0,0
2,70.30603804797353,802.3159636062861,264000,225000,489000,0,0,0
2,72.37386269644334,804.3837882547559,263000,225000,488000,0,0,1000
2,74.44168734491315,806.4516129032257,263000,225000,488000,0,0,1000
2,76.50951199338296,808.5194375516955,263000,225000,488000,0,0,1000
2,78.57733664185277,810.5872622001654,263000,225000,488000,0,0,1000
2,80.64516129032258,812.6550868486352,263000,225000,488000,0,0,1000
2,82.71298593879239,814.722911497105,263000,225000,488000,0,0,1000
2,84.7808105872622,816.7907361455748,263000,225000,488000,0,0,1000
2,86.848635235732,818.8585607940446,263000,225000,488000,0,0,1000
2,88.91645988420181,820.9263854425144,263000,225000,488000,0,0,1000
2,90.98428453267162,822.9942100909842,263000,225000,488000,0,0,1000
2,93.05210918114143,825.062034739454,263000,225000,488000,0,0,1000
2,95.11993382961124,827.1298593879238,263000,225000,488000,0,0,1000
2,97.18775847808105,829.1976840363936,263000,225000,488000,0,0,1000
2,99.25558312655086,831.2655086848634,263000,225000,488000,0,0,1000
2,101.32340777502067,833.3333333333333,263000,225000,488000,0,0,1000
2,103.39123242349048,835.4011579818031,263000,225000,488000,0,0,1000
2,105.45905707196029,837.4689826302729,263000,225000,488000,0,0,1000
2,107.5268817204301,839.5368072787427,263000,225000,488000,0,0,1000
2,109.5947063688999,841.6046319272125,263000,225000,488000,0,0,1000
2,111.66253101736972,843.6724565756823,263000,225000,488000,0,0,1000
2,113.73035566583953,845.7402812241521,263000,225000,488000,0,0,1000
2,115.79818031430933,847.8081058726219,263000,225000,488000,0,0,1000
2,117.86600496277914,849.8759305210917,263000,225000,488000,0,0,1000
2,119.93382961124895,851.9437551695615,263000,225000,488000,0,0,1000
2,122.00165425971876,854.0115798180314,263000,225000,488000,0,0,1000
2,124.06947890818857,856.0794044665012,262000,225000,487000,0,0,2000
2,126.13730355665838,858.147229114971,262000,225000,487000,0,0,2000
2,128.2051282051282,860.2150537634408,262000,225000,487000,0,0,2000
2,130.272952853598,862.2828784119106,262000,225000,487000,0,0,2000
2,132.34077750206782,864.3507030603804,262000,225000,487000,0,0,2000
2,134.40860215053763,866.4185277088502,262000,225000,487000,0,0,2000
2,136.47642679900744,868.48635235732,262000,225000,487000,0,0,2000
2,138.54425144747725,870.5541770057898,262000,225000,487000,0,0,2000
2,140.61207609594706,872.6220016542596,262000,225000,487000,0,0,2000
2,142.67990074441687,874.6898263027294,262000,225000,487000,0,0,2000
2,144.74772539288668,876.7576509511993,262000,225000,487000,0,0,2000
2,146.8155500413565,878.8254755996691,262000,225000,487000,0,0,2000
2,148.8833746898263,880.8933002481389,262000,225000,487000,0,0,2000
2,150.9511993382961,882.9611248966087,262000,225000,487000,0,0,2000
2,153.01902398676592,885.0289495450785,262000,225000,487000,0,0,2000
