year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit
2,252.27460711331676,984.2845326716293,317000,324000,641000,0,0,2000
2,254.34243176178657,986.3523573200991,318000,325000,643000,0,0,2000
2,256.4102564102564,988.420181968569,322000,329000,651000,0,0,2000
2,258.4780810587262,990.4880066170388,322000,331000,653000,0,0,2000
2,260.545905707196,992.5558312655086,323000,332000,655000,0,0,2000
2,262.61373035566584,994.6236559139784,324000,335000,659000,0,0,2000
2,264.68155500413565,996.6914805624482,324000,335000,659000,0,0,2000
2,266.74937965260546,998.759305210918,324000,335000,659000,0,0,2000
2,268.81720430107526,1000.8271298593878,324000,335000,659000,0,0,2000
2,270.8850289495451,1002.8949545078576,324000,335000,659000,0,0,2000
2,272.9528535980149,1004.9627791563274,324000,335000,659000,0,0,2000
2,275.0206782464847,1007.0306038047972,324000,335000,659000,0,0,2000
2,277.0885028949545,1009.098428453267,324000,335000,659000,0,0,2000
2,279.1563275434243,1011.1662531017369,324000,335000,659000,0,0,2000
2,281.2241521918941,1013.2340777502067,324000,335000,659000,0,0,2000
2,283.29197684036393,1015.3019023986765,324000,335000,659000,0,0,2000
2,285.35980148883374,1017.3697270471463,324000,335000,659000,0,0,2000
2,287.42762613730355,1019.4375516956161,324000,335000,659000,0,0,2000
2,289.49545078577336,1021.5053763440859,324000,335000,659000,0,0,2000
2,291.56327543424317,1023.5732009925557,324000,335000,659000,0,0,2000
2,293.631100082713,1025.6410256410256,324000,335000,659000,0,0,2000
2,295.6989247311828,1027.7088502894956,324000,335000,659000,0,0,2000
2,297.7667493796526,1029.7766749379655,324000,335000,659000,0,0,2000
2,299.8345740281224,1031.8444995864354,324000,335000,659000,0,0,2000
2,301.9023986765922,1033.9123242349053,324000,335000,659000,0,0,2000
2,303.970223325062,1035.9801488833753,324000,335000,659000,0,0,2000
2,306.03804797353183,1038.0479735318452,324000,335000,659000,0,0,2000
2,308.10587262200164,1040.115798180315,324000,335000,659000,0,0,2000
2,310.17369727047145,1042.183622828785,324000,335000,659000,0,0,2000
2,312.24152191894126,1044.251447477255,324000,335000,659000,0,0,2000
2,314.30934656741107,1046.3192721257249,324000,335000,659000,0,0,2000
2,316.3771712158809,1048.3870967741948,324000,335000,659000,0,0,2000
2,318.4449958643507,1050.4549214226647,324000,335000,659000,0,0,2000
2,320.5128205128205,1052.5227460711346,324000,335000,659000,0,0,2000
2,322.5806451612903,1054.5905707196046,324000,335000,659000,0,0,2000
2,324.6484698097601,1056.6583953680745,324000,335000,659000,0,0,2000
2,326.7162944582299,1058.7262200165444,324000,335000,659000,0,0,2000
2,328.78411910669973,1060.7940446650143,324000,335000,659000,0,0,2000
2,330.85194375516954,1062.8618693134842,324000,335000,659000,0,0,2000
2,332.91976840363935,1064.9296939619542,324000,335000,659000,0,0,2000
2,334.98759305210916,1066.997518610424,313000,325000,638000,50000,21000,2000
2,337.05541770057897,1069.065343258894,308000,321000,629000,50000,30000,2000
2,339.1232423490488,1071.133167907364,305000,318000,623000,50000,36000,2000
2,341.1910669975186,1073.2009925558339,300000,311000,611000,50000,48000,2000
2,343.2588916459884,1075.2688172043038,297000,309000,606000,50000,53000,2000
2,345.3267162944582,1077.3366418527737,296000,305000,601000,50000,58000,2000
2,347.394540942928,1079.4044665012436,294000,301000,595000,50000,64000,2000
2,349.4623655913978,1081.4722911497136,294000,301000,595000,0,64000,2000
2,351.53019023986764,1083.5401157981835,294000,301000,595000,0,64000,2000
2,353.59801488833745,1085.6079404466534,294000,301000,595000,0,64000,2000
2,355.66583953680725,1087.6757650951233,294000,301000,595000,0,64000,2000
2,357.73366418527706,1089.7435897435932,294000,301000,595000,0,64000,2000
2,359.8014888337469,1091.8114143920632,294000,301000,595000,0,64000,2000
2,361.8693134822167,1093.879239040533,294000,301000,595000,0,64000,2000
2,363.9371381306865,1095.947063689003,294000,301000,595000,0,64000,2000
3,0,1098.014888337473,294000,301000,595000,0,0,0
3,2.0678246484698097,1100.0827129859429,294000,301000,595000,0,0,0
3,4.1356492969396195,1102.1505376344128,294000,301000,595000,0,0,0
3,6.20347394540943,1104.2183622828827,294000,301000,595000,0,0,0
3,8.271298593879239,1106.2861869313526,294000,301000,595000,0,0,0
3,10.339123242349048,1108.3540115798226,294000,301000,595000,0,0,0
3,12.406947890818858,1110.4218362282925,294000,301000,595000,0,0,0
3,14.474772539288667,1112.4896608767624,294000,301000,595000,0,0,0
3,16.542597187758478,1114.5574855252323,294000,301000,595000,0,0,0
3,18.610421836228287,1116.6253101737022,294000,301000,595000,0,0,0
3,20.678246484698096,1118.6931348221722,294000,301000,595000,0,0,0
3,22.746071133167906,1120.760959470642,294000,301000,595000,0,0,0
3,24.813895781637715,1122.828784119112,294000,301000,595000,0,0,0
3,26.881720430107524,1124.896608767582,294000,301000,595000,0,0,0
3,28.949545078577334,1126.9644334160519,294000,301000,595000,0,0,0
3,31.017369727047143,1129.0322580645218,294000,301000,595000,0,0,0
3,33.085194375516956,1131.1000827129917,294000,301000,595000,0,0,0
3,35.153019023986765,1133.1679073614616,294000,301000,595000,0,0,0
3,37.220843672456574,1135.2357320099316,294000,301000,595000,0,0,0
3,39.288668320926384,1137.3035566584015,294000,301000,595000,0,0,0
3,41.35649296939619,1139.3713813068714,294000,301000,595000,0,0,0
3,43.424317617866,1141.4392059553413,294000,301000,595000,0,0,0
3,45.49214226633581,1143.5070306038112,294000,301000,595000,0,0,0
3,47.55996691480562,1145.5748552522812,294000,301000,595000,0,0,0
3,49.62779156327543,1147.642679900751,294000,301000,595000,0,0,0
3,51.69561621174524,1149.710504549221,294000,301000,595000,0,0,0
