year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit
4,64.1025641025641,1528.122415219217,35000,69000,104000,0,0,0
4,66.17038875103391,1530.1902398676868,35000,69000,104000,0,0,0
4,68.23821339950372,1532.2580645161568,35000,69000,104000,0,0,0
4,70.30603804797353,1534.3258891646267,35000,69000,104000,0,0,0
4,72.37386269644334,1536.3937138130966,35000,69000,104000,0,0,0
4,74.44168734491315,1538.4615384615665,35000,69000,104000,0,0,0
4,76.50951199338296,1540.5293631100365,35000,69000,104000,0,0,0
4,78.57733664185277,1542.5971877585064,35000,69000,104000,0,0,0
4,80.64516129032258,1544.6650124069763,35000,69000,104000,0,0,0
4,82.71298593879239,1546.7328370554462,35000,69000,104000,0,0,0
4,84.7808105872622,1548.8006617039161,35000,69000,104000,0,0,0
4,86.848635235732,1550.868486352386,35000,69000,104000,0,0,0
4,88.91645988420181,1552.936311000856,35000,69000,104000,0,0,0
4,90.98428453267162,1555.004135649326,35000,69000,104000,0,0,0
4,93.05210918114143,1557.0719602977958,35000,69000,104000,0,0,0
4,95.11993382961124,1559.1397849462658,35000,69000,104000,0,0,0
4,97.18775847808105,1561.2076095947357,35000,69000,104000,0,0,0
4,99.25558312655086,1563.2754342432056,35000,69000,104000,0,0,0
4,101.32340777502067,1565.3432588916755,35000,69000,104000,0,0,0
4,103.39123242349048,1567.4110835401455,35000,69000,104000,0,0,0
4,105.45905707196029,1569.4789081886154,35000,69000,104000,0,0,0
4,107.5268817204301,1571.5467328370853,35000,69000,104000,0,0,0
4,109.5947063688999,1573.6145574855552,35000,69000,104000,0,0,0
4,111.66253101736972,1575.6823821340251,35000,69000,104000,0,0,0
4,113.73035566583953,1577.750206782495,35000,69000,104000,0,0,0
4,115.79818031430933,1579.818031430965,35000,69000,104000,0,0,0
4,117.86600496277914,1581.885856079435,35000,69000,104000,0,0,0
4,119.93382961124895,1583.9536807279048,35000,69000,104000,0,0,0
