year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit

0,0,0,375000,1125000,1500000,633000,0,0
0,1,1,375000,1125000,1500000,0,0,0
0,2,2,375000,1125000,1500000,0,0,0
0,3,3,375000,1125000,1500000,0,0,0
0,4,4,375000,1125000,1500000,0,0,0
0,5,5,375000,1125000,1500000,0,0,0
0,6,6,375000,1125000,1500000,0,0,0
0,7,7,375000,1125000,1500000,0,0,0
0,8,8,375000,1125000,1500000,0,0,0
0,9,9,375000,1125000,1500000,0,0,0
0,10,10,375000,1125000,1500000,0,0,0
0,11,11,375000,1125000,1500000,0,0,0
0,12,12,375000,1125000,1500000,0,0,0
0,13,13,375000,1125000,1500000,0,0,0
0,14,14,375000,1125000,1500000,0,0,0
0,15,15,375000,1125000,1500000,0,0,0
0,16,16,375000,1125000,1500000,0,0,0
0,17,17,375000,1125000,1500000,0,0,0
0,18,18,375000,1125000,1500000,0,0,0
0,19,19,375000,1125000,1500000,0,0,0
0,20,20,375000,1125000,1500000,0,0,0
0,21,21,375000,1125000,1500000,0,0,0
0,22,22,375000,1125000,1500000,0,0,0
0,23,23,375000,1125000,1500000,0,0,0
0,24,24,375000,1125000,1500000,0,0,0
0,25,25,375000,1125000,1500000,0,0,0
0,26,26,375000,1125000,1500000,0,0,0
0,27,27,375000,1125000,1500000,0,0,0
0,28,28,375000,1125000,1500000,0,0,0
0,29,29,375000,1125000,1500000,0,0,0
0,30,30,375000,1125000,1500000,0,0,0
0,31,31,375000,1125000,1500000,0,0,0
0,32,32,375000,1125000,1500000,0,0,0
0,33,33,375000,1125000,1500000,0,0,0
0,34,34,375000,1125000,1500000,0,0,0
0,35,35,375000,1125000,1500000,0,0,0
0,36,36,375000,1125000,1500000,0,0,0
0,37,37,375000,1125000,1500000,0,0,0
0,38,38,375000,1125000,1500000,0,0,0
0,39,39,375000,1125000,1500000,0,0,0
0,40,40,375000,1125000,1500000,0,0,0
0,41,41,375000,1125000,1500000,0,0,0
0,42,42,375000,1125000,1500000,0,0,0
0,43,43,375000,1125000,1500000,0,0,0
0,44,44,375000,1125000,1500000,0,0,0
0,45,45,375000,1125000,1500000,0,0,0
0,46,46,375000,1125000,1500000,0,0,0
0,47,47,375000,1125000,1500000,0,0,0
0,48,48,375000,1125000,1500000,0,0,0
0,49,49,375000,1125000,1500000,0,0,0
0,50,50,375000,1125000,1500000,0,0,0
0,51,51,375000,1125000,1500000,0,0,0
0,52,52,375000,1125000,1500000,0,0,0
0,53,53,375000,1125000,1500000,0,0,0
0,54,54,375000,1125000,1500000,0,0,0
0,55,55,375000,1125000,1500000,0,0,0
0,56,56,375000,1125000,1500000,0,0,0
0,57,57,375000,1125000,1500000,0,0,0
0,58,58,375000,1125000,1500000,0,0,0
0,59,59,375000,1125000,1500000,0,0,0
0,60,60,375000,1125000,1500000,0,0,0
0,61,61,375000,1125000,1500000,0,0,0
0,62,62,375000,1125000,1500000,0,0,0
0,63,63,375000,1125000,1500000,0,0,0
0,64,64,375000,1125000,1500000,0,0,0
0,65,65,375000,1125000,1500000,0,0,0
0,66,66,375000,1125000,1500000,0,0,0
0,67,67,375000,1125000,1500000,0,0,0
0,68,68,375000,1125000,1500000,0,0,0
0,69,69,375000,1125000,1500000,0,0,0
